separate_mechanism	mover_ch	motion_en	time	date	mover_en	type	motion_ch	vote_number
Yes	葉建源	"AMENDMENT BY HON IP KIN-YUEN TO HON MARTIN LIAO'S MOTION ON ""PROMOTING HONG KONG'S ECONOMIC RESTRUCTURING"" AS AMENDED BY HON KENNETH LEUNG / HON CHRISTOPHER CHEUNG / HON TANG KA-PIU / HON SIN CHUNG-KAI"	20:09:10	20/03/2013	IP Kin-yuen	Member	葉建源議員對廖長江議員就「推動香港經濟轉型」所提，經梁繼昌議員／張華峰議員／鄧家彪議員／單仲偕議員修正的議案，作出的修正案	[u'3']
Yes	范國威	"AMENDMENT BY HON GARY FAN TO HON RONNY TONG'S MOTION ON ""IMPLEMENTING DUAL UNIVERSAL SUFFRAGE"""	20:37:45	20/02/2013	Gary FAN	Member	范國威議員對湯家驊議員的「落實雙普選」議案作出的修正案	[u'3']
Yes	陳恒鑌	"MOTION MOVED BY HON CHAN HAN-PAN ON ""DEVELOPING A NEW NORTH LANTAU"" AS AMENDED BY HON RONNY TONG / HON TONY TSE / HON ALICE MAK / HON YIU SI-WING/ DR HON KWOK KA-KI"	21:08:46	06/02/2013	CHAN Han-pan	Member	由陳恒鑌議員動議，經湯家驊議員／謝偉銓議員／麥美娟議員／姚思榮議員／郭家麒議員修正的「建設新北大嶼山」議案	[u'3']
Yes	王國興	"AMENDMENT BY HON WONG KWOK-HING TO HON STARRY LEE'S MOTION ON ""ACTIVELY PROMOTING FAMILY-FRIENDLY POLICIES"""	18:10:28	05/06/2013	WONG Kwok-hing	Member	王國興議員對李慧琼議員的「積極推動家庭友善政策」議案作出的修正案	[u'2']
Yes	馮檢基	"MOTION ON ""RAISING THE MINIMUM WAGE LEVEL TO $33 OR ABOVE PER HOUR"""	17:53:59	31/10/2012	Frederick FUNG	Member	「調升最低工資水平至時薪33元或以上」議案	[u'4']
Yes	梁國雄	"MOTION ON ""BUYING BACK THE SHARES OF THE LINK"""	18:18:12	21/11/2012	LEUNG Kwok-hung	Member	「回購領匯股份」議案	[u'4']
Yes	馮檢基	"AMENDMENT BY HON FREDERICK FUNG TO HON MICHAEL TIEN'S MOTION ON ""EXECUTIVE COUNCIL AS GATE-KEEPER FOR MTR FARES"""	10:49:03	06/12/2012	Frederick FUNG	Member	馮檢基議員對田北辰議員的「港鐵票價，行會把關」議案作出的修正案	[u'4']
Yes	謝偉銓	"AMENDMENT BY HON TONY TSE TO HON CHRISTOPHER CHUNG'S MOTION ON ""CONCERN ABOUT THE EXPENDITURE OF THE WEST KOWLOON CULTURAL DISTRICT PROJECT"""	17:28:13	27/06/2013	Tony TSE	Member	謝偉銓議員對鍾樹根議員的「關注西九文化區計劃開支」議案作出的修正案	[u'2']
Yes	馮檢基	"AMENDMENT BY HON FREDERICK FUNG TO HON CHEUNG KWOK-CHE'S MOTION ON ""LEGISLATING FOR THE REGULATION OF WORKING HOURS"""	12:40:43	18/10/2012	Frederick FUNG	Member	馮檢基議員對張國柱議員的「立法規管工時」議案作出的修正案	[u'4']
Yes	陳志全	"AMENDMENT BY HON CHAN CHI-CHUEN TO HON CYD HO'S MOTION ON ""EQUAL RIGHTS FOR PEOPLE OF DIFFERENT SEXUAL ORIENTATIONS"""	17:47:14	07/11/2012	CHAN Chi-chuen	Member	陳志全議員對何秀蘭議員的「同志平權」議案作出的修正案	[u'4']
Yes	田北俊	"AMENDMENT BY HON JAMES TIEN TO HON EMILY LAU'S MOTION ON ""NORTH EAST NEW TERRITORIES NEW DEVELOPMENT AREAS PLANNING AND ENGINEERING STUDY"""	19:13:19	24/10/2012	James TIEN	Member	田北俊議員對劉慧卿議員的「新界東北新發展區規劃及工程研究」議案作出的修正案	[u'4']
Yes	張華峰	"AMENDMENT BY HON CHRISTOPHER CHEUNG TO HON SIN CHUNG-KAI'S MOTION ON ""FACING UP TO THE ASPIRATIONS OF THE PEOPLE PARTICIPATING IN THE MARCH ON 1 JULY"""	19:29:43	03/07/2013	Christopher CHEUNG	Member	張華峰議員對單仲偕議員的「正視七一遊行市民的訴求」議案作出的修正案	[u'2']
Yes	郭家麒	"AMENDMENT BY DR HON KWOK KA-KI TO HON TANG KA-PIU'S MOTION ON ""COMPREHENSIVELY REVIEWING THE MANDATORY PROVIDENT FUND SCHEME"""	14:40:14	10/01/2013	Dr KWOK Ka-ki	Member	郭家麒議員對鄧家彪議員的「全面檢討強制性公積金計劃」議案作出的修正案	[u'4']
Yes	李國麟	"AMENDMENT BY DR HON JOSEPH LEE TO HON ALICE MAK'S MOTION ON ""DRUG FORMULARY AND DRUGS SUBSIDY SYSTEM"" AS AMENDED BY DR HON LEUNG KA-LAU"	11:43:07	23/05/2013	Dr Joseph LEE	Member	李國麟議員對麥美娟議員就「《藥物名冊》及藥物資助制度」所提，經梁家騮議員修正的議案，作出的修正案	[u'3']
Yes	黃毓民	"AMENDMENT BY HON WONG YUK-MAN TO HON ALAN LEONG'S MOTION ON ""DEMOCRATIC PROCEDURES FOR THE ELECTION OF THE CHIEF EXECUTIVE BY UNIVERSAL SUFFRAGE IN 2017"""	21:35:05	29/05/2013	WONG Yuk-man	Member	黃毓民議員對梁家傑議員的「2017年行政長官普選的民主程序」議案作出的修正案	[u'3']
Yes	郭榮鏗	AIR POLLUTION CONTROL (AMENDMENT) BILL 2013 - COMMITTEE STAGE - AMENDMENT TO CLAUSE 5	20:34:12	10/07/2013	Dennis KWOK	Member	《2013年空氣污染管制（修訂）條例草案》－ 全體委員會審議階段 － 修正第5條	[u'2']
Yes	何俊仁	"AMENDMENT BY HON ALBERT HO TO DR HON LEUNG KA-LAU'S MOTION ON ""DISSOLVING THE HOSPITAL AUTHORITY"""	12:55:22	18/07/2013	Albert HO	Member	何俊仁議員對梁家騮議員的「解散醫院管理局」議案作出的修正案	[u'2']
Yes	葉建源	"AMENDMENT BY HON IP KIN-YUEN TO HON CHAN HAK-KAN'S MOTION ON ""CARING ABOUT THE EDUCATION, EMPLOYMENT, HOUSING, HOME ACQUISITION AND BUSINESS START-UP PROBLEMS FACED BY YOUNG PEOPLE"" AS AMENDED BY HON CHAN YUEN-HAN / DR HON KENNETH CHAN"	20:47:03	28/11/2012	IP Kin-yuen	Member	葉建源議員對陳克勤議員就「關注青年人面對的學業、就業、住屋置業和創業問題」所提，經陳婉嫻議員／陳家洛議員修正的議案，作出的修正案	[u'5']
Yes	張國柱	AMENDMENT BY HON CHEUNG KWOK-CHE TO HON ANDREW LEUNG'S MOTION OF THANKS	21:30:30	01/02/2013	CHEUNG Kwok-che	Member	張國柱議員對梁君彥議員的致謝議案作出的修正案	[u'4']
Yes	張超雄	"AMENDMENT BY DR HON FERNANDO CHEUNG TO DR HON ELIZABETH QUAT'S MOTION ON ""ASSISTING THE MIDDLE CLASS"""	19:46:13	23/01/2013	Dr Fernando CHEUNG	Member	張超雄議員對葛珮帆議員的「幫助中產」議案作出的修正案	[u'4']
Yes	劉慧卿	"AMENDMENT BY HON EMILY LAU TO HON RONNY TONG'S MOTION ON ""IMPLEMENTING DUAL UNIVERSAL SUFFRAGE"""	20:39:47	20/02/2013	Emily LAU	Member	劉慧卿議員對湯家驊議員的「落實雙普選」議案作出的修正案	[u'4']
Yes	李國麟	"AMENDMENT BY DR HON JOSEPH LEE TO DR HON HELENA WONG'S MOTION ON ""REGULATING BEAUTY INDUSTRY"""	21:26:40	31/10/2012	Dr Joseph LEE	Member	李國麟議員對黃碧雲議員的「監管美容業」議案作出的修正案	[u'5']
Yes	譚耀宗	"AMENDMENT BY HON TAM YIU-CHUNG TO HON CHAN YUEN-HAN'S MOTION ON ""ALLEVIATING POVERTY"" AS AMENDED BY HON FREDERICK FUNG"	23:25:57	14/11/2012	TAM Yiu-chung	Member	譚耀宗議員對陳婉嫻議員就「紓解貧窮」所提，經馮檢基議員修正的議案，作出的修正案	[u'5']
Yes	梁家傑	"AMENDMENT BY HON ALAN LEONG TO HON WONG KWOK-KIN'S MOTION ON ""IMPLEMENTING THE KAI TAK PLANNING TO DOVETAIL WITH KOWLOON EAST DEVELOPMENT"" AS AMENDED BY HON FREDERICK FUNG / HON CHAN KAM-LAM / HON FRANKIE YICK / HON WU CHI-WAI"	23:39:31	20/03/2013	Alan LEONG	Member	梁家傑議員對黃國健議員就「落實啟德規劃，配合九龍東發展」所提，經馮檢基議員／陳鑑林議員／易志明議員／胡志偉議員修正的議案，作出的修正案	[u'4']
Yes	李慧琼	"AMENDMENT BY HON STARRY LEE TO HON MRS REGINA IP'S MOTION ON ""REVIVING THE QUALITY OF LOCAL EDUCATION AND STOPPING THE BLIND INDUSTRIALIZATION OF EDUCATION"" AS AMENDED BY HON CLAUDIA MO"	14:02:20	20/12/2012	Starry LEE	Member	李慧琼議員對葉劉淑儀議員就「重振本地教育質素，停止教育盲目產業化」所提，經毛孟靜議員修正的議案，作出的修正案	[u'4']
Yes	王國興	"AMENDMENT BY HON WONG KWOK-HING TO HON VINCENT FANG'S MOTION ON ""INCREASING THE BUSINESS FLOOR AREAS OF THE RETAIL INDUSTRY"""	0:33:25	07/02/2013	WONG Kwok-hing	Member	王國興議員對方剛議員的「增加零售業經營面積」議案作出的修正案	[u'4']
Yes	黃碧雲	"AMENDMENT BY DR HON HELENA WONG TO HON STARRY LEE'S MOTION ON ""ACTIVELY PROMOTING FAMILY-FRIENDLY POLICIES"" AS AMENDED BY HON WONG KWOK-HING"	18:12:43	05/06/2013	Dr Helena WONG	Member	黃碧雲議員對李慧琼議員就「積極推動家庭友善政策」所提，經王國興議員修正的議案，作出的修正案	[u'3']
Yes	張超雄	"AMENDMENT BY DR HON FERNANDO CHEUNG TO HON LEUNG YIU-CHUNG'S MOTION ON ""BUILDING AN INCLUSIVE SOCIETY FOR ALL"""	21:45:24	21/11/2012	Dr Fernando CHEUNG	Member	張超雄議員對梁耀忠議員的「締造傷健共融社會」議案作出的修正案	[u'5']
Yes	胡志偉	"AMENDMENT BY HON WU CHI-WAI TO HON MICHAEL TIEN'S MOTION ON ""EXECUTIVE COUNCIL AS GATE-KEEPER FOR MTR FARES"""	10:51:14	06/12/2012	WU Chi-wai	Member	胡志偉議員對田北辰議員的「港鐵票價，行會把關」議案作出的修正案	[u'5']
Yes	郭偉強	"AMENDMENT BY HON KWOK WAI-KEUNG TO HON CHEUNG KWOK-CHE'S MOTION ON ""LEGISLATING FOR THE REGULATION OF WORKING HOURS"""	12:43:46	18/10/2012	KWOK Wai-keung	Member	郭偉強議員對張國柱議員的「立法規管工時」議案作出的修正案	[u'5']
Yes	何秀蘭	"MOTION ON ""EQUAL RIGHTS FOR PEOPLE OF DIFFERENT SEXUAL ORIENTATIONS"""	17:54:12	07/11/2012	Cyd HO	Member	「同志平權」議案	[u'5']
Yes	石禮謙	"AMENDMENT BY HON ABRAHAM SHEK TO HON EMILY LAU'S MOTION ON ""NORTH EAST NEW TERRITORIES NEW DEVELOPMENT AREAS PLANNING AND ENGINEERING STUDY"""	19:15:26	24/10/2012	Abraham SHEK	Member	石禮謙議員對劉慧卿議員的「新界東北新發展區規劃及工程研究」議案作出的修正案	[u'5']
Yes	張超雄	"AMENDMENT BY DR HON FERNANDO CHEUNG TO HON ALICE MAK'S MOTION ON ""DRUG FORMULARY AND DRUGS SUBSIDY SYSTEM"" AS AMENDED BY DR HON LEUNG KA-LAU / DR HON JOSEPH LEE"	11:46:05	23/05/2013	Dr Fernando CHEUNG	Member	張超雄議員對麥美娟議員就「《藥物名冊》及藥物資助制度」所提，經梁家騮議員／李國麟議員修正的議案，作出的修正案	[u'4']
Yes	單仲偕	"MOTION ON ""FACING UP TO THE ASPIRATIONS OF THE PEOPLE PARTICIPATING IN THE MARCH ON 1 JULY"""	19:31:45	03/07/2013	SIN Chung-kai	Member	「正視七一遊行市民的訴求」議案	[u'3']
Yes	陳婉嫻	"AMENDMENT BY HON CHAN YUEN-HAN TO HON CHRISTOPHER CHUNG'S MOTION ON ""CONCERN ABOUT THE EXPENDITURE OF THE WEST KOWLOON CULTURAL DISTRICT PROJECT"" AS AMENDED BY HON TONY TSE"	17:31:37	27/06/2013	CHAN Yuen-han	Member	陳婉嫻議員對鍾樹根議員就「關注西九文化區計劃開支」所提，經謝偉銓議員修正的議案，作出的修正案	[u'3']
Yes	陳健波	"AMENDMENT BY HON CHAN KIN-POR TO HON TANG KA-PIU'S MOTION ON ""COMPREHENSIVELY REVIEWING THE MANDATORY PROVIDENT FUND SCHEME"""	14:42:47	10/01/2013	CHAN Kin-por	Member	陳健波議員對鄧家彪議員的「全面檢討強制性公積金計劃」議案作出的修正案	[u'5']
Yes	田北辰	"AMENDMENT BY HON MICHAEL TIEN TO HON ALAN LEONG'S MOTION ON ""DEMOCRATIC PROCEDURES FOR THE ELECTION OF THE CHIEF EXECUTIVE BY UNIVERSAL SUFFRAGE IN 2017"""	21:37:11	29/05/2013	Michael TIEN	Member	田北辰議員對梁家傑議員的「2017年行政長官普選的民主程序」議案作出的修正案	[u'4']
No	環境局局長	AIR POLLUTION CONTROL (AMENDMENT) BILL 2013 - THIRD READING	20:41:14	10/07/2013	Secretary for the Environment	Public Officer	《2013年空氣污染管制（修訂）條例草案》－ 三讀	[u'3']
Yes	梁家騮	"MOTION ON ""DISSOLVING THE HOSPITAL AUTHORITY"""	12:59:44	18/07/2013	Dr LEUNG Ka-lau	Member	「解散醫院管理局」議案	[u'3']
Yes	盧偉國	"AMENDMENT BY IR DR HON LO WAI-KWOK TO HON CLAUDIA MO'S MOTION ON ""DOMESTIC FREE TELEVISION PROGRAMME SERVICE LICENCE APPLICATIONS"""	11:20:28	29/11/2012	Ir Dr LO Wai-kwok	Member	盧偉國議員對毛孟靜議員的「本地免費電視節目服務牌照申請」議案作出的修正案	[u'6']
Yes	王國興	HON WONG KWOK-HING'S AMENDMENT TO HON LEE CHEUK-YAN'S AMENDMENT TO HON ANDREW LEUNG'S MOTION OF THANKS	21:32:53	01/02/2013	WONG Kwok-hing	Member	王國興議員就李卓人議員對梁君彥議員的致謝議案所提修正案，作出的修正案	[u'5']
Yes	單仲偕	"AMENDMENT BY HON SIN CHUNG-KAI TO DR HON ELIZABETH QUAT'S MOTION ON ""ASSISTING THE MIDDLE CLASS"""	19:48:15	23/01/2013	SIN Chung-kai	Member	單仲偕議員對葛珮帆議員的「幫助中產」議案作出的修正案	[u'5']
Yes	黃毓民	"AMENDMENT BY HON WONG YUK-MAN TO HON RONNY TONG'S MOTION ON ""IMPLEMENTING DUAL UNIVERSAL SUFFRAGE"""	20:41:47	20/02/2013	WONG Yuk-man	Member	黃毓民議員對湯家驊議員的「落實雙普選」議案作出的修正案	[u'5']
Yes	麥美娟	"AMENDMENT BY HON ALICE MAK TO DR HON HELENA WONG'S MOTION ON ""REGULATING BEAUTY INDUSTRY"""	21:29:33	31/10/2012	Alice MAK	Member	麥美娟議員對黃碧雲議員的「監管美容業」議案作出的修正案	[u'6']
Yes	何俊仁	"AMENDMENT BY HON ALBERT HO TO HON CHAN YUEN-HAN'S MOTION ON ""ALLEVIATING POVERTY"" AS AMENDED BY HON FREDERICK FUNG / HON TAM YIU-CHUNG"	23:29:13	14/11/2012	Albert HO	Member	何俊仁議員對陳婉嫻議員就「紓解貧窮」所提，經馮檢基議員／譚耀宗議員修正的議案，作出的修正案	[u'6']
Yes	范國威	"AMENDMENT BY HON GARY FAN TO HON MRS REGINA IP'S MOTION ON ""REVIVING THE QUALITY OF LOCAL EDUCATION AND STOPPING THE BLIND INDUSTRIALIZATION OF EDUCATION"" AS AMENDED BY HON CLAUDIA MO"	14:04:39	20/12/2012	Gary FAN	Member	范國威議員對葉劉淑儀議員就「重振本地教育質素，停止教育盲目產業化」所提，經毛孟靜議員修正的議案，作出的修正案	[u'5']
Yes	張國柱	"AMENDMENT BY HON CHEUNG KWOK-CHE TO HON STARRY LEE'S MOTION ON ""ACTIVELY PROMOTING FAMILY-FRIENDLY POLICIES"" AS AMENDED BY HON WONG KWOK-HING"	18:15:01	05/06/2013	CHEUNG Kwok-che	Member	張國柱議員對李慧琼議員就「積極推動家庭友善政策」所提，經王國興議員修正的議案，作出的修正案	[u'4']
Yes	鄧家彪	"AMENDMENT BY HON TANG KA-PIU TO HON MICHAEL TIEN'S MOTION ON ""EXECUTIVE COUNCIL AS GATE-KEEPER FOR MTR FARES"""	10:53:31	06/12/2012	TANG Ka-piu	Member	鄧家彪議員對田北辰議員的「港鐵票價，行會把關」議案作出的修正案	[u'6']
Yes	黃國健	"MOTION MOVED BY HON WONG KWOK-KIN ON ""IMPLEMENTING THE KAI TAK PLANNING TO DOVETAIL WITH KOWLOON EAST DEVELOPMENT"" AS AMENDED BY HON FREDERICK FUNG / HON CHAN KAM-LAM / HON FRANKIE YICK / HON WU CHI-WAI / DR HON LEUNG KA-LAU"	23:50:35	20/03/2013	WONG Kwok-kin	Member	由黃國健議員動議，經馮檢基議員／陳鑑林議員／易志明議員／胡志偉議員／梁家騮議員修正的「落實啟德規劃，配合九龍東發展」議案	[u'5']
Yes	田北辰	"AMENDMENT BY HON MICHAEL TIEN TO HON VINCENT FANG'S MOTION ON ""INCREASING THE BUSINESS FLOOR AREAS OF THE RETAIL INDUSTRY"" AS AMENDED BY HON WONG KWOK-HING / HON ALICE MAK / HON STARRY LEE / HON ALAN LEONG"	0:39:25	07/02/2013	Michael TIEN	Member	田北辰議員對方剛議員就「增加零售業經營面積」所提，經王國興議員／麥美娟議員／李慧琼議員／梁家傑議員修正的議案，作出的修正案	[u'5']
Yes	陳家洛	"AMENDMENT BY DR HON KENNETH CHAN TO HON IP KWOK-HIM'S MOTION ON ""FORMULATING A POPULATION POLICY"""	23:41:08	03/07/2013	Dr Kenneth CHAN	Member	陳家洛議員對葉國謙議員的「制訂人口政策」議案作出的修正案	[u'4']
Yes	單仲偕	"AMENDMENT BY HON SIN CHUNG-KAI TO HON CHEUNG KWOK-CHE'S MOTION ON ""LEGISLATING FOR THE REGULATION OF WORKING HOURS"""	12:45:55	18/10/2012	SIN Chung-kai	Member	單仲偕議員對張國柱議員的「立法規管工時」議案作出的修正案	[u'6']
Yes	李卓人	"AMENDMENT BY HON LEE CHEUK-YAN TO HON WONG KWOK-HING'S MOTION ON ""PERFECTING HOUSING POLICY AND RESOLVING PUBLIC HOUSING NEED"""	23:47:21	07/11/2012	LEE Cheuk-yan	Member	李卓人議員對王國興議員的「完善房屋政策，解決市民住屋需要」議案作出的修正案	[u'6']
Yes	范國威	"AMENDMENT BY HON GARY FAN TO HON EMILY LAU'S MOTION ON ""NORTH EAST NEW TERRITORIES NEW DEVELOPMENT AREAS PLANNING AND ENGINEERING STUDY"""	19:17:30	24/10/2012	Gary FAN	Member	范國威議員對劉慧卿議員的「新界東北新發展區規劃及工程研究」議案作出的修正案	[u'6']
Yes	麥美娟	"MOTION MOVED BY HON ALICE MAK ON ""DRUG FORMULARY AND DRUGS SUBSIDY SYSTEM"" AS AMENDED BY DR HON LEUNG KA-LAU / DR HON JOSEPH LEE"	11:49:05	23/05/2013	Alice MAK	Member	麥美娟議員動議，經梁家騮議員／李國麟議員修正的「《藥物名冊》及藥物資助制度」議案	[u'5']
Yes	何秀蘭	"AMENDMENT BY HON CYD HO TO HON CHRISTOPHER CHUNG'S MOTION ON ""CONCERN ABOUT THE EXPENDITURE OF THE WEST KOWLOON CULTURAL DISTRICT PROJECT"" AS AMENDED BY HON TONY TSE / DR HON PRISCILLA LEUNG"	17:35:45	27/06/2013	Cyd HO	Member	何秀蘭議員對鍾樹根議員就「關注西九文化區計劃開支」所提，經謝偉銓議員／梁美芬議員修正的議案，作出的修正案	[u'4']
Yes	盧偉國	"AMENDMENT BY IR DR HON LO WAI-KWOK TO HON KWOK WAI-KEUNG'S MOTION ON ""PROMOTING THE WASTE RECYCLING INDUSTRY TO CREATE EMPLOYMENT OPPORTUNITIES"""	15:54:34	11/07/2013	Ir Dr LO Wai-kwok	Member	盧偉國議員對郭偉強議員的「推動廢物循環再造業，創造就業機會」議案作出的修正案	[u'4']
Yes	鄧家彪	"MOTION ON ""COMPREHENSIVELY REVIEWING THE MANDATORY PROVIDENT FUND SCHEME"""	14:45:15	10/01/2013	TANG Ka-piu	Member	「全面檢討強制性公積金計劃」議案	[u'6']
Yes	何秀蘭	"AMENDMENT BY HON CYD HO TO HON ALAN LEONG'S MOTION ON ""DEMOCRATIC PROCEDURES FOR THE ELECTION OF THE CHIEF EXECUTIVE BY UNIVERSAL SUFFRAGE IN 2017"""	21:39:12	29/05/2013	Cyd HO	Member	何秀蘭議員對梁家傑議員的「2017年行政長官普選的民主程序」議案作出的修正案	[u'5']
Yes	莫乃光	"AMENDMENT BY HON CHARLES PETER MOK TO HON MA FUNG-KWOK'S MOTION ON ""FOLLOWING UP THE MATTER ON MR SNOWDEN'S DISCLOSURE OF THE UNITED STATES GOVERNMENT'S HACKING INTO THE COMPUTER SYSTEMS IN HONG KONG"""	16:09:22	18/07/2013	Charles Peter MOK	Member	莫乃光議員對馬逢國議員的「跟進斯諾登先生披露美國政府入侵本港電腦系統一事」議案作出的修正案	[u'4']
Yes	單仲偕	"AMENDMENT BY HON SIN CHUNG-KAI TO HON CLAUDIA MO'S MOTION ON ""DOMESTIC FREE TELEVISION PROGRAMME SERVICE LICENCE APPLICATIONS"" AS AMENDED BY IR DR HON LO WAI-KWOK"	11:23:55	29/11/2012	SIN Chung-kai	Member	單仲偕議員對毛孟靜議員就「本地免費電視節目服務牌照申請」所提，經盧偉國議員修正的議案，作出的修正案	[u'7']
Yes	李卓人	AMENDMENT BY HON LEE CHEUK-YAN TO HON ANDREW LEUNG'S MOTION OF THANKS	21:35:04	01/02/2013	LEE Cheuk-yan	Member	李卓人議員對梁君彥議員的致謝議案作出的修正案	[u'6']
Yes	易志明	"AMENDMENT BY HON FRANKIE YICK TO HON JAMES TIEN'S MOTION ON ""OPTIMIZING THE COMPREHENSIVE SOCIAL SECURITY ASSISTANCE FOR THE UNEMPLOYED"""	16:35:10	24/01/2013	Frankie YICK	Member	易志明議員對田北俊議員的「優化失業綜援」議案作出的修正案	[u'6']
Yes	郭家麒	"AMENDMENT BY DR HON KWOK KA-KI TO HON RONNY TONG'S MOTION ON ""IMPLEMENTING DUAL UNIVERSAL SUFFRAGE"""	20:43:51	20/02/2013	Dr KWOK Ka-ki	Member	郭家麒議員對湯家驊議員的「落實雙普選」議案作出的修正案	[u'6']
Yes	郭家麒	"AMENDMENT BY DR HON KWOK KA-KI TO DR HON HELENA WONG'S MOTION ON ""REGULATING BEAUTY INDUSTRY"""	21:31:39	31/10/2012	Dr KWOK Ka-ki	Member	郭家麒議員對黃碧雲議員的「監管美容業」議案作出的修正案	[u'7']
Yes	梁家傑	"AMENDMENT BY HON ALAN LEONG TO HON CHAN YUEN-HAN'S MOTION ON ""ALLEVIATING POVERTY"" AS AMENDED BY HON FREDERICK FUNG / HON TAM YIU-CHUNG / HON ALBERT HO"	23:31:46	14/11/2012	Alan LEONG	Member	梁家傑議員對陳婉嫻議員就「紓解貧窮」所提，經馮檢基議員／譚耀宗議員／何俊仁議員修正的議案，作出的修正案	[u'7']
Yes	黃碧雲	"AMENDMENT BY DR HON HELENA WONG TO HON MRS REGINA IP'S MOTION ON ""REVIVING THE QUALITY OF LOCAL EDUCATION AND STOPPING THE BLIND INDUSTRIALIZATION OF EDUCATION"" AS AMENDED BY HON CLAUDIA MO"	14:06:58	20/12/2012	Dr Helena WONG	Member	黃碧雲議員對葉劉淑儀議員就「重振本地教育質素，停止教育盲目產業化」所提，經毛孟靜議員修正的議案，作出的修正案	[u'6']
Yes	范國威	"AMENDMENT BY HON GARY FAN TO HON VINCENT FANG'S MOTION ON ""INCREASING THE BUSINESS FLOOR AREAS OF THE RETAIL INDUSTRY"" AS AMENDED BY HON WONG KWOK-HING / HON ALICE MAK / HON STARRY LEE / HON ALAN LEONG"	0:41:55	07/02/2013	Gary FAN	Member	范國威議員對方剛議員就「增加零售業經營面積」所提，經王國興議員／麥美娟議員／李慧琼議員／梁家傑議員修正的議案，作出的修正案	[u'6']
Yes	毛孟靜	"AMENDMENT BY HON CLAUDIA MO TO HON STARRY LEE'S MOTION ON ""ACTIVELY PROMOTING FAMILY-FRIENDLY POLICIES"" AS AMENDED BY HON WONG KWOK-HING / HON CHEUNG KWOK-CHE"	18:17:21	05/06/2013	Claudia MO	Member	毛孟靜議員對李慧琼議員就「積極推動家庭友善政策」所提，經王國興議員／張國柱議員修正的議案，作出的修正案	[u'5']
Yes	易志明	"AMENDMENT BY HON FRANKIE YICK TO HON MICHAEL TIEN'S MOTION ON ""EXECUTIVE COUNCIL AS GATE-KEEPER FOR MTR FARES"""	10:55:38	06/12/2012	Frankie YICK	Member	易志明議員對田北辰議員的「港鐵票價，行會把關」議案作出的修正案	[u'7']
Yes	梁志祥	"AMENDMENT BY HON LEUNG CHE-CHEUNG TO HON WONG KWOK-HING'S MOTION ON ""PERFECTING HOUSING POLICY AND RESOLVING PUBLIC HOUSING NEED"""	23:50:18	07/11/2012	LEUNG Che-cheung	Member	梁志祥議員對王國興議員的「完善房屋政策，解決市民住屋需要」議案作出的修正案	[u'7']
Yes	劉慧卿	"MOTION ON ""NORTH EAST NEW TERRITORIES NEW DEVELOPMENT AREAS PLANNING AND ENGINEERING STUDY"""	19:23:17	24/10/2012	Emily LAU	Member	「新界東北新發展區規劃及工程研究」議案	[u'7']
Yes	涂謹申	"AMENDMENT BY HON JAMES TO TO HON IP KWOK-HIM'S MOTION ON ""FORMULATING A POPULATION POLICY"" AS AMENDED BY DR HON KENNETH CHAN"	23:44:27	03/07/2013	James TO	Member	涂謹申議員對葉國謙議員就「制訂人口政策」所提，經陳家洛議員修正的議案，作出的修正案	[u'5']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 1)	14:38:51	14/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號1）	[u'1']
Yes	蔣麗芸	"AMENDMENT BY DR HON CHIANG LAI-WAN TO HON CHEUNG KWOK-CHE'S MOTION ON ""LEGISLATING FOR THE REGULATION OF WORKING HOURS"""	12:49:30	18/10/2012	Dr CHIANG Lai-wan	Member	蔣麗芸議員對張國柱議員的「立法規管工時」議案作出的修正案	[u'7']
Yes	鄧家彪	"AMENDMENT BY HON TANG KA-PIU TO HON JEFFREY LAM'S MOTION ON ""MAINTAINING A BUSINESS-FRIENDLY ENVIRONMENT IN HONG KONG"""	16:53:00	23/05/2013	TANG Ka-piu	Member	鄧家彪議員對林健鋒議員的「維持本港有利營商環境」議案作出的修正案	[u'6']
Yes	莫乃光	"AMENDMENT BY HON CHARLES PETER MOK TO HON CHRISTOPHER CHUNG'S MOTION ON ""CONCERN ABOUT THE EXPENDITURE OF THE WEST KOWLOON CULTURAL DISTRICT PROJECT"" AS AMENDED BY HON TONY TSE / DR HON PRISCILLA LEUNG / HON CYD HO"	17:38:11	27/06/2013	Charles Peter MOK	Member	莫乃光議員對鍾樹根議員就「關注西九文化區計劃開支」所提，經謝偉銓議員／梁美芬議員／何秀蘭議員修正的議案，作出的修正案	[u'5']
Yes	范國威	"AMENDMENT BY HON GARY FAN TO HON KWOK WAI-KEUNG'S MOTION ON ""PROMOTING THE WASTE RECYCLING INDUSTRY TO CREATE EMPLOYMENT OPPORTUNITIES"" AS AMENDED BY IR DR HON LO WAI-KWOK / DR HON KENNETH CHAN"	15:58:30	11/07/2013	Gary FAN	Member	范國威議員對郭偉強議員就「推動廢物循環再造業，創造就業機會」所提，經盧偉國議員／陳家洛議員修正的議案，作出的修正案	[u'5']
